S-00001,BW,S-00001-153,110,110,BW,Body Weight,183.4,g,183.4,183.4,g,,15,2018-10-23,15
S-00001,BW,S-00001-153,111,111,BW,Body Weight,186.2,g,186.2,186.2,g,,16,2018-10-24,16
S-00001,BW,S-00001-153,112,112,BW,Body Weight,189.9,g,189.9,189.9,g,,17,2018-10-25,17
S-00001,BW,S-00001-153,113,113,BW,Body Weight,192.3,g,192.3,192.3,g,,18,2018-10-26,18
S-00001,BW,S-00001-153,114,114,BW,Body Weight,194.2,g,194.2,194.2,g,,19,2018-10-27,19
S-00001,BW,S-00001-153,115,115,BW,Body Weight,201.2,g,201.2,201.2,g,,20,2018-10-28,20
S-00001,BW,S-00001-153,116,116,BW,Body Weight,201.9,g,201.9,201.9,g,,21,2018-10-29,21
S-00001,BW,S-00001-153,117,117,BW,Body Weight,200.1,g,200.1,200.1,g,,22,2018-10-30,22
S-00001,BW,S-00001-153,118,118,BW,Body Weight,205.8,g,205.8,205.8,g,,23,2018-10-31,23
S-00001,BW,S-00001-153,119,119,BW,Body Weight,210.4,g,210.4,210.4,g,,24,2018-11-01,24
S-00001,BW,S-00001-153,120,120,BW,Body Weight,209.8,g,209.8,209.8,g,,25,2018-11-02,25
S-00001,BW,S-00001-153,121,121,BW,Body Weight,206.4,g,206.4,206.4,g,,26,2018-11-03,26
S-00001,BW,S-00001-153,122,122,BW,Body Weight,215.3,g,215.3,215.3,g,,27,2018-11-04,27
S-00001,BW,S-00001-153,123,123,BW,Body Weight,219.0,g,219.0,219,g,,28,2018-11-05,28
S-00001,BW,S-00001-153,124,124,BW,Body Weight,219.3,g,219.3,219.3,g,,29,2018-11-06,29
S-00001,BW,S-00001-153,125,125,BW,Body Weight,215.7,g,215.7,215.7,g,,30,2018-11-07,30
S-00001,BW,S-00001-153,126,126,BW,Body Weight,220.0,g,220.0,220,g,,31,2018-11-08,31
S-00001,BW,S-00001-153,127,127,BW,Body Weight,225.6,g,225.6,225.6,g,,32,2018-11-09,32
S-00001,BW,S-00001-153,128,128,BW,Body Weight,225.9,g,225.9,225.9,g,,33,2018-11-10,33
S-00001,BW,S-00001-153,129,129,BW,Body Weight,227.9,g,227.9,227.9,g,,34,2018-11-11,34
S-00001,BW,S-00001-153,130,130,BW,Body Weight,229.3,g,229.3,229.3,g,,35,2018-11-12,35
S-00001,BW,S-00001-153,131,131,BW,Body Weight,236.5,g,236.5,236.5,g,,36,2018-11-13,36
S-00001,BW,S-00001-153,132,132,BW,Body Weight,234.3,g,234.3,234.3,g,,37,2018-11-14,37
S-00001,BW,S-00001-153,133,133,BW,Body Weight,237.3,g,237.3,237.3,g,,38,2018-11-15,38
S-00001,BW,S-00001-153,134,134,BW,Body Weight,238.7,g,238.7,238.7,g,,39,2018-11-16,39
S-00001,BW,S-00001-153,135,135,BW,Body Weight,241.2,g,241.2,241.2,g,,40,2018-11-17,40
S-00001,BW,S-00001-153,136,136,BW,Body Weight,245.5,g,245.5,245.5,g,,41,2018-11-18,41
S-00001,BW,S-00001-153,137,137,BW,Body Weight,241.3,g,241.3,241.3,g,,42,2018-11-19,42
S-00001,BW,S-00001-153,138,138,BW,Body Weight,246.5,g,246.5,246.5,g,,43,2018-11-20,43
S-00001,BW,S-00001-153,139,139,BW,Body Weight,248.8,g,248.8,248.8,g,,44,2018-11-21,44
S-00001,BW,S-00001-153,140,140,BW,Body Weight,251.5,g,251.5,251.5,g,,45,2018-11-22,45
S-00001,BW,S-00001-153,141,141,TERMBW,Terminal Body Weight,245.5,g,245.5,245.5,g,,46,2018-11-23,46
S-00001,BW,S-00001-154,142,142,BW,Body Weight,122.0,g,122.0,122,g,,-1,2018-10-08,-1
S-00001,BW,S-00001-154,143,143,BW,Body Weight,124.4,g,124.4,124.4,g,,1,2018-10-09,1
S-00001,BW,S-00001-154,144,144,BW,Body Weight,123.4,g,123.4,123.4,g,,2,2018-10-10,2
S-00001,BW,S-00001-154,145,145,BW,Body Weight,130.3,g,130.3,130.3,g,,3,2018-10-11,3
S-00001,BW,S-00001-154,146,146,BW,Body Weight,133.4,g,133.4,133.4,g,,4,2018-10-12,4
S-00001,BW,S-00001-154,147,147,BW,Body Weight,138.4,g,138.4,138.4,g,,5,2018-10-13,5
S-00001,BW,S-00001-154,148,148,BW,Body Weight,133.5,g,133.5,133.5,g,,6,2018-10-14,6
S-00001,BW,S-00001-154,149,149,BW,Body Weight,140.4,g,140.4,140.4,g,,7,2018-10-15,7
S-00001,BW,S-00001-154,150,150,BW,Body Weight,145.3,g,145.3,145.3,g,,8,2018-10-16,8
S-00001,BW,S-00001-154,151,151,BW,Body Weight,149.8,g,149.8,149.8,g,,9,2018-10-17,9
S-00001,BW,S-00001-154,152,152,BW,Body Weight,145.4,g,145.4,145.4,g,,10,2018-10-18,10
S-00001,BW,S-00001-154,153,153,BW,Body Weight,155.5,g,155.5,155.5,g,,11,2018-10-19,11
S-00001,BW,S-00001-154,154,154,BW,Body Weight,156.6,g,156.6,156.6,g,,12,2018-10-20,12
S-00001,BW,S-00001-154,155,155,BW,Body Weight,162.5,g,162.5,162.5,g,,13,2018-10-21,13
